Elevation,Slope,Aspect,x,y,ID,VsI,VsL,Vd
4078.84,73.5,24.7,358929.011,3123940.771,2,0.689,0.835,0.384
4075.61,77.7,22.2,358930.011,3123940.771,2,0.630,0.754,0.402
4072.49,76.9,19.7,358931.011,3123940.771,2,0.582,0.685,0.423
4074.69,76.3,17.6,358932.011,3123940.771,2,0.626,0.746,0.405
4092.08,44.5,39.1,358904.011,3123939.771,2,0.751,1.021,0.361
4091.21,48.4,35.5,358905.011,3123939.771,2,0.744,0.992,0.368
4090.78,52.0,33.8,358906.011,3123939.771,2,0.743,0.986,0.370
4090.23,57.4,33.6,358907.011,3123939.771,2,0.741,0.976,0.370
4089.80,55.4,34.2,358908.011,3123939.771,2,0.739,0.970,0.368
4089.32,47.7,34.2,358909.011,3123939.771,2,0.738,0.963,0.368
4088.78,43.1,34.2,358910.011,3123939.771,2,0.736,0.957,0.365
4088.52,44.6,34.4,358911.011,3123939.771,2,0.738,0.960,0.360
4088.01,49.6,34.8,358912.011,3123939.771,2,0.738,0.954,0.355
4087.16,51.5,35.4,358913.011,3123939.771,2,0.731,0.936,0.352
4086.14,51.0,35.0,358914.011,3123939.771,2,0.722,0.914,0.348
4085.48,48.2,34.8,358915.011,3123939.771,2,0.718,0.903,0.350
4084.92,43.9,34.4,358916.011,3123939.771,2,0.716,0.897,0.350
4084.50,41.5,31.4,358917.011,3123939.771,2,0.717,0.895,0.353
4084.02,41.2,29.3,358918.011,3123939.771,2,0.716,0.891,0.354
4083.73,41.0,28.3,358919.011,3123939.771,2,0.718,0.892,0.359
4083.23,42.0,27.9,358920.011,3123939.771,2,0.716,0.887,0.361
4082.90,43.0,27.8,358921.011,3123939.771,2,0.717,0.885,0.363
4082.46,42.5,27.7,358922.011,3123939.771,2,0.715,0.880,0.369
4082.47,41.6,27.1,358923.011,3123939.771,2,0.722,0.889,0.371
4082.03,47.1,26.4,358924.011,3123939.771,2,0.720,0.884,0.378
4081.03,51.6,25.1,358925.011,3123939.771,2,0.705,0.860,0.383
4080.46,53.4,26.1,358926.011,3123939.771,2,0.700,0.851,0.390
4079.87,53.6,26.1,358927.011,3123939.771,2,0.692,0.840,0.391
4079.51,48.6,25.0,358928.011,3123939.771,2,0.689,0.835,0.398
4080.21,54.4,23.0,358929.011,3123939.771,2,0.710,0.864,0.392
4080.14,70.5,20.9,358930.011,3123939.771,2,0.713,0.868,0.394
4078.45,73.8,18.9,358931.011,3123939.771,2,0.681,0.825,0.403
4076.67,73.4,14.3,358932.011,3123939.771,2,0.648,0.780,0.412
4076.88,76.0,14.4,358933.011,3123939.771,2,0.658,0.794,0.412
4073.53,78.3,15.8,358934.011,3123939.771,2,0.603,0.716,0.433
4069.60,77.3,16.9,358935.011,3123939.771,2,0.555,0.641,0.453
4090.36,53.6,32.9,358909.011,3123938.771,2,0.749,1.002,0.359
4089.74,51.4,33.9,358910.011,3123938.771,2,0.747,0.991,0.356
4089.67,48.8,34.7,358911.011,3123938.771,2,0.751,0.999,0.354
4088.88,49.6,35.5,358912.011,3123938.771,2,0.747,0.984,0.354
4087.99,50.1,35.5,358913.011,3123938.771,2,0.742,0.965,0.353
4087.35,51.1,34.8,358914.011,3123938.771,2,0.740,0.956,0.352
4086.59,50.8,34.7,358915.011,3123938.771,2,0.736,0.941,0.351
4085.75,47.3,34.3,358916.011,3123938.771,2,0.729,0.924,0.351
4085.25,44.0,30.8,358917.011,3123938.771,2,0.728,0.919,0.353
4084.97,44.3,28.2,358918.011,3123938.771,2,0.730,0.921,0.353
4084.44,44.6,26.8,358919.011,3123938.771,2,0.728,0.913,0.357
4084.17,45.0,27.0,358920.011,3123938.771,2,0.730,0.914,0.360
4083.81,45.9,27.2,358921.011,3123938.771,2,0.731,0.913,0.365
4083.55,45.1,27.1,358922.011,3123938.771,2,0.732,0.913,0.367
4083.34,42.9,26.3,358923.011,3123938.771,2,0.734,0.915,0.376
4082.58,44.9,26.1,358924.011,3123938.771,2,0.727,0.899,0.378
4082.07,46.9,24.7,358925.011,3123938.771,2,0.723,0.890,0.386
4081.76,48.6,24.7,358926.011,3123938.771,2,0.722,0.888,0.388
4081.32,50.1,24.9,358927.011,3123938.771,2,0.719,0.881,0.395
4080.80,46.9,24.7,358928.011,3123938.771,2,0.712,0.871,0.394
4080.44,37.8,22.0,358929.011,3123938.771,2,0.709,0.865,0.405
4081.08,40.6,19.6,358930.011,3123938.771,2,0.726,0.893,0.398
4080.17,57.6,18.1,358931.011,3123938.771,2,0.711,0.870,0.409
4079.72,60.5,13.6,358932.011,3123938.771,2,0.705,0.861,0.412
4079.77,66.1,13.7,358933.011,3123938.771,2,0.710,0.869,0.412
4078.53,74.9,14.3,358934.011,3123938.771,2,0.686,0.836,0.415
4077.54,78.6,14.4,358935.011,3123938.771,2,0.669,0.813,0.425
4076.25,79.6,15.8,358936.011,3123938.771,2,0.646,0.783,0.433
4074.89,79.5,16.9,358937.011,3123938.771,2,0.627,0.756,0.442
4090.53,43.8,34.8,358911.011,3123937.771,2,0.756,1.026,0.351
4089.60,46.5,35.4,358912.011,3123937.771,2,0.754,1.007,0.353
4088.93,48.6,34.8,358913.011,3123937.771,2,0.752,0.994,0.354
4088.23,50.1,34.6,358914.011,3123937.771,2,0.750,0.984,0.356
4087.44,51.7,34.4,358915.011,3123937.771,2,0.747,0.967,0.357
4086.65,52.9,34.2,358916.011,3123937.771,2,0.742,0.953,0.360
4086.22,53.3,29.4,358917.011,3123937.771,2,0.742,0.950,0.364
4085.85,52.6,26.8,358918.011,3123937.771,2,0.743,0.949,0.361
4085.48,51.5,26.3,358919.011,3123937.771,2,0.743,0.945,0.364
4085.18,51.5,26.3,358920.011,3123937.771,2,0.745,0.945,0.366
4084.77,50.8,26.5,358921.011,3123937.771,2,0.744,0.941,0.371
4084.64,49.4,26.5,358922.011,3123937.771,2,0.747,0.946,0.372
4083.94,49.3,25.4,358923.011,3123937.771,2,0.742,0.932,0.378
4083.46,47.1,24.2,358924.011,3123937.771,2,0.740,0.924,0.387
4083.02,44.0,23.1,358925.011,3123937.771,2,0.738,0.917,0.392
4082.51,41.9,23.1,358926.011,3123937.771,2,0.734,0.907,0.394
4082.12,40.8,23.4,358927.011,3123937.771,2,0.731,0.901,0.399
4081.83,42.1,23.0,358928.011,3123937.771,2,0.730,0.898,0.405
4081.62,39.9,20.1,358929.011,3123937.771,2,0.730,0.897,0.406
4081.17,35.5,19.2,358930.011,3123937.771,2,0.724,0.888,0.414
4081.32,42.2,14.4,358931.011,3123937.771,2,0.731,0.899,0.411
4080.40,45.3,13.1,358932.011,3123937.771,2,0.713,0.873,0.420
4080.22,45.7,13.6,358933.011,3123937.771,2,0.713,0.873,0.422
4080.19,55.7,14.1,358934.011,3123937.771,2,0.716,0.878,0.424
4080.08,63.4,14.4,358935.011,3123937.771,2,0.716,0.879,0.421
4079.88,67.4,15.8,358936.011,3123937.771,2,0.714,0.877,0.423
4079.89,73.8,16.3,358937.011,3123937.771,2,0.716,0.881,0.424
4077.98,78.2,16.4,358938.011,3123937.771,2,0.677,0.827,0.433
4075.30,79.2,16.1,358939.011,3123937.771,2,0.629,0.760,0.459
4086.20,44.1,24.9,358921.011,3123936.771,2,0.757,0.991,0.351
4085.77,46.0,26.1,358922.011,3123936.771,2,0.757,0.987,0.356
4085.35,51.1,24.8,358923.011,3123936.771,2,0.756,0.981,0.363
4084.32,52.7,23.2,358924.011,3123936.771,2,0.750,0.954,0.372
4083.82,51.4,21.7,358925.011,3123936.771,2,0.748,0.945,0.378
4083.25,50.0,22.0,358926.011,3123936.771,2,0.744,0.933,0.387
4082.82,46.1,22.5,358927.011,3123936.771,2,0.741,0.924,0.397
4082.50,40.9,21.7,358928.011,3123936.771,2,0.739,0.920,0.397
4082.39,40.4,19.5,358929.011,3123936.771,2,0.741,0.923,0.403
4081.98,41.4,18.5,358930.011,3123936.771,2,0.737,0.914,0.405
4081.98,43.7,13.7,358931.011,3123936.771,2,0.740,0.920,0.411
4081.77,48.2,12.9,358932.011,3123936.771,2,0.738,0.917,0.412
4081.21,47.3,13.1,358933.011,3123936.771,2,0.729,0.902,0.423
4081.62,48.1,14.0,358934.011,3123936.771,2,0.739,0.922,0.416
4081.41,49.4,14.4,358935.011,3123936.771,2,0.737,0.919,0.421
4080.99,48.8,15.8,358936.011,3123936.771,2,0.730,0.908,0.425
4080.39,52.6,16.3,358937.011,3123936.771,2,0.720,0.891,0.430
4080.48,63.4,16.4,358938.011,3123936.771,2,0.722,0.898,0.430
4080.24,76.4,16.1,358939.011,3123936.771,2,0.719,0.892,0.430
4074.38,79.2,17.8,358940.011,3123936.771,2,0.603,0.726,0.479
4084.72,50.2,22.2,358926.011,3123935.771,2,0.757,0.982,0.370
4083.98,50.8,22.8,358927.011,3123935.771,2,0.754,0.963,0.379
4083.44,49.8,22.0,358928.011,3123935.771,2,0.750,0.951,0.389
4083.10,47.6,19.2,358929.011,3123935.771,2,0.748,0.945,0.394
4083.08,48.0,18.3,358930.011,3123935.771,2,0.750,0.950,0.396
4082.95,49.1,13.6,358931.011,3123935.771,2,0.750,0.950,0.403
4082.73,49.8,12.9,358932.011,3123935.771,2,0.749,0.947,0.405
4082.21,47.2,12.9,358933.011,3123935.771,2,0.744,0.932,0.415
4082.51,46.4,13.8,358934.011,3123935.771,2,0.749,0.948,0.414
4082.36,47.5,14.7,358935.011,3123935.771,2,0.748,0.947,0.418
4082.09,49.9,16.3,358936.011,3123935.771,2,0.745,0.940,0.422
4081.93,50.6,16.3,358937.011,3123935.771,2,0.744,0.937,0.428
4081.56,46.3,16.4,358938.011,3123935.771,2,0.739,0.928,0.430
4081.02,60.3,16.1,358939.011,3123935.771,2,0.730,0.910,0.436
4080.88,71.0,17.8,358940.011,3123935.771,2,0.727,0.907,0.437
4080.10,77.1,18.8,358941.011,3123935.771,2,0.712,0.882,0.445
4076.75,79.8,18.4,358942.011,3123935.771,2,0.641,0.781,0.474
4076.29,80.6,13.9,358943.011,3123935.771,2,0.636,0.774,0.478
4073.53,80.5,11.2,358944.011,3123935.771,2,0.591,0.710,0.488
4084.32,42.4,13.1,358931.011,3123934.771,2,0.758,0.996,0.381
4083.39,47.0,12.7,358933.011,3123934.771,2,0.755,0.976,0.395
4083.64,42.9,13.0,358934.011,3123934.771,2,0.757,0.988,0.398
4083.57,42.6,14.1,358935.011,3123934.771,2,0.756,0.988,0.400
4083.13,45.7,15.2,358936.011,3123934.771,2,0.753,0.976,0.411
4083.16,50.5,14.7,358937.011,3123934.771,2,0.754,0.979,0.413
4082.23,56.3,15.8,358938.011,3123934.771,2,0.745,0.950,0.427
4081.54,56.6,15.8,358939.011,3123934.771,2,0.736,0.926,0.437
4081.25,51.0,17.8,358940.011,3123934.771,2,0.731,0.916,0.443
4081.61,57.7,18.8,358941.011,3123934.771,2,0.737,0.931,0.441
4081.58,67.6,18.4,358942.011,3123934.771,2,0.736,0.931,0.442
4081.69,72.9,13.9,358943.011,3123934.771,2,0.737,0.936,0.434
4081.19,77.6,11.2,358944.011,3123934.771,2,0.728,0.919,0.441
4078.54,80.0,11.1,358945.011,3123934.771,2,0.674,0.831,0.465
4076.47,80.8,11.1,358946.011,3123934.771,2,0.633,0.775,0.481
4074.57,80.8,11.1,358947.011,3123934.771,2,0.601,0.730,0.488
4075.59,80.5,11.2,358948.011,3123934.771,2,0.620,0.759,0.474
4072.28,79.7,10.8,358949.011,3123934.771,2,0.573,0.689,0.487
4070.86,78.3,10.1,358950.011,3123934.771,2,0.558,0.663,0.496
4082.41,54.1,19.0,358941.011,3123933.771,2,0.746,0.955,0.427
4082.16,49.6,18.4,358942.011,3123933.771,2,0.742,0.946,0.430
4082.12,44.7,13.9,358943.011,3123933.771,2,0.741,0.945,0.432
4082.17,53.0,11.2,358944.011,3123933.771,2,0.741,0.947,0.434
4081.78,65.6,11.1,358945.011,3123933.771,2,0.734,0.933,0.438
4081.57,72.4,11.1,358946.011,3123933.771,2,0.729,0.925,0.435
4081.76,74.9,11.1,358947.011,3123933.771,2,0.731,0.932,0.431
4081.16,76.4,11.7,358948.011,3123933.771,2,0.720,0.911,0.434
4079.82,78.8,10.8,358949.011,3123933.771,2,0.691,0.866,0.444
4078.37,79.9,10.3,358950.011,3123933.771,2,0.660,0.821,0.453
4078.51,80.4,10.5,358951.011,3123933.771,2,0.664,0.828,0.443
4075.56,80.6,11.0,358952.011,3123933.771,2,0.611,0.752,0.463
4072.46,80.0,10.5,358953.011,3123933.771,2,0.570,0.688,0.480
4082.84,46.6,11.2,358944.011,3123932.771,2,0.747,0.969,0.423
4082.90,48.6,11.1,358945.011,3123932.771,2,0.748,0.970,0.422
4082.63,47.2,11.1,358946.011,3123932.771,2,0.742,0.959,0.431
4082.71,44.1,11.1,358947.011,3123932.771,2,0.742,0.961,0.426
4082.72,51.2,11.7,358948.011,3123932.771,2,0.740,0.959,0.426
4082.42,61.4,10.8,358949.011,3123932.771,2,0.734,0.948,0.425
4082.36,66.1,10.1,358950.011,3123932.771,2,0.732,0.944,0.425
4081.57,69.4,10.1,358951.011,3123932.771,2,0.717,0.916,0.430
4081.29,74.8,10.6,358952.011,3123932.771,2,0.710,0.905,0.429
4080.50,78.0,8.7,358953.011,3123932.771,2,0.693,0.878,0.429
4080.57,78.4,7.7,358954.011,3123932.771,2,0.694,0.881,0.426
4080.54,79.1,7.0,358955.011,3123932.771,2,0.693,0.880,0.421
4076.00,80.5,7.0,358956.011,3123932.771,2,0.611,0.756,0.458
4075.23,80.7,5.4,358957.011,3123932.771,2,0.602,0.742,0.455
4075.21,80.8,8.5,358958.011,3123932.771,2,0.606,0.747,0.456
4083.34,45.0,11.1,358947.011,3123931.771,2,0.748,0.978,0.417
4083.44,46.3,11.7,358948.011,3123931.771,2,0.747,0.979,0.420
4083.31,47.5,10.8,358949.011,3123931.771,2,0.744,0.972,0.419
4083.30,48.1,10.1,358950.011,3123931.771,2,0.741,0.969,0.422
4082.85,48.6,10.1,358951.011,3123931.771,2,0.733,0.951,0.425
4082.46,49.1,10.5,358952.011,3123931.771,2,0.725,0.935,0.428
4082.63,53.2,8.6,358953.011,3123931.771,2,0.726,0.940,0.421
4082.44,54.6,7.0,358954.011,3123931.771,2,0.721,0.933,0.420
4082.06,63.3,5.5,358955.011,3123931.771,2,0.714,0.918,0.419
4082.25,72.3,5.9,358956.011,3123931.771,2,0.716,0.924,0.418
4081.62,75.2,5.4,358957.011,3123931.771,2,0.703,0.902,0.421
4082.13,76.1,7.8,358958.011,3123931.771,2,0.712,0.921,0.413
4081.77,79.3,9.3,358959.011,3123931.771,2,0.706,0.911,0.413
4077.14,80.8,12.0,358960.011,3123931.771,2,0.627,0.781,0.448
4078.19,81.2,13.2,358961.011,3123931.771,2,0.648,0.814,0.435
4075.10,81.0,15.5,358962.011,3123931.771,2,0.608,0.749,0.451
4084.34,50.9,10.1,358950.011,3123930.771,2,0.751,1.003,0.409
4083.70,51.8,10.1,358951.011,3123930.771,2,0.742,0.978,0.413
4083.29,45.7,10.5,358952.011,3123930.771,2,0.734,0.960,0.420
4083.44,43.3,8.6,358953.011,3123930.771,2,0.734,0.963,0.416
4083.38,44.9,7.0,358954.011,3123930.771,2,0.731,0.958,0.416
4083.17,45.8,5.5,358955.011,3123930.771,2,0.726,0.948,0.415
4082.91,47.2,5.9,358956.011,3123930.771,2,0.720,0.938,0.414
4083.04,49.3,5.5,358957.011,3123930.771,2,0.721,0.943,0.411
4082.91,50.4,8.6,358958.011,3123930.771,2,0.718,0.937,0.412
4082.81,62.7,12.7,358959.011,3123930.771,2,0.716,0.935,0.414
4082.82,70.4,13.2,358960.011,3123930.771,2,0.717,0.937,0.411
4082.60,73.0,14.0,358961.011,3123930.771,2,0.715,0.932,0.411
4082.21,77.9,16.7,358962.011,3123930.771,2,0.710,0.921,0.416
4078.55,80.3,20.7,358963.011,3123930.771,2,0.649,0.817,0.437
4078.29,81.0,21.1,358964.011,3123930.771,2,0.650,0.816,0.435
4075.57,81.1,24.2,358965.011,3123930.771,2,0.617,0.760,0.449
4084.25,50.4,10.6,358952.011,3123929.771,2,0.744,0.988,0.407
4084.58,46.5,8.5,358953.011,3123929.771,2,0.747,0.996,0.404
4084.29,42.6,7.0,358954.011,3123929.771,2,0.741,0.983,0.410
4084.24,42.9,5.5,358955.011,3123929.771,2,0.738,0.978,0.410
4084.17,45.5,5.9,358956.011,3123929.771,2,0.735,0.973,0.408
4084.20,48.1,5.5,358957.011,3123929.771,2,0.733,0.973,0.407
4084.32,50.6,8.6,358958.011,3123929.771,2,0.734,0.976,0.409
4084.47,51.8,12.7,358959.011,3123929.771,2,0.736,0.982,0.404
4084.01,51.5,13.2,358960.011,3123929.771,2,0.731,0.966,0.408
4083.67,50.9,14.0,358961.011,3123929.771,2,0.726,0.956,0.413
4083.02,59.9,16.7,358962.011,3123929.771,2,0.716,0.935,0.415
4083.12,68.4,20.8,358963.011,3123929.771,2,0.720,0.941,0.409
4082.63,72.5,22.2,358964.011,3123929.771,2,0.715,0.928,0.416
4082.51,75.4,24.6,358965.011,3123929.771,2,0.717,0.928,0.417
4080.89,79.5,26.6,358966.011,3123929.771,2,0.692,0.883,0.425
4075.27,80.8,30.0,358967.011,3123929.771,2,0.612,0.749,0.458
4084.97,44.9,5.2,358954.011,3123928.771,2,0.747,1.004,0.395
4085.04,45.9,4.8,358955.011,3123928.771,2,0.746,1.003,0.398
4084.97,45.5,5.2,358956.011,3123928.771,2,0.743,0.998,0.401
4085.20,46.8,5.4,358957.011,3123928.771,2,0.744,1.003,0.401
4085.43,45.2,8.6,358958.011,3123928.771,2,0.746,1.010,0.399
4085.35,44.3,12.7,358959.011,3123928.771,2,0.745,1.007,0.400
4085.33,47.9,13.2,358960.011,3123928.771,2,0.745,1.006,0.398
4084.81,51.0,14.0,358961.011,3123928.771,2,0.739,0.988,0.404
4084.50,49.6,16.7,358962.011,3123928.771,2,0.736,0.977,0.408
4084.38,48.1,20.8,358963.011,3123928.771,2,0.736,0.974,0.411
4083.81,47.1,22.9,358964.011,3123928.771,2,0.728,0.956,0.413
4083.49,51.1,25.0,358965.011,3123928.771,2,0.726,0.948,0.417
4082.85,68.1,28.2,358966.011,3123928.771,2,0.719,0.931,0.425
4081.67,75.5,34.1,358967.011,3123928.771,2,0.703,0.897,0.429
4080.42,79.3,37.2,358968.011,3123928.771,2,0.685,0.865,0.442
4074.09,79.9,37.6,358969.011,3123928.771,2,0.595,0.716,0.474
4086.05,45.0,4.9,358956.011,3123927.771,2,0.753,1.030,0.384
4086.45,50.3,5.4,358957.011,3123927.771,2,0.756,1.041,0.383
4086.36,52.4,8.7,358958.011,3123927.771,2,0.754,1.037,0.387
4086.20,51.5,12.7,358959.011,3123927.771,2,0.752,1.030,0.391
4086.29,48.1,13.5,358960.011,3123927.771,2,0.752,1.032,0.391
4085.95,48.0,14.0,358961.011,3123927.771,2,0.750,1.019,0.397
4085.43,46.9,16.8,358962.011,3123927.771,2,0.745,1.002,0.402
4085.17,44.7,20.8,358963.011,3123927.771,2,0.744,0.993,0.408
4084.64,42.7,23.5,358964.011,3123927.771,2,0.737,0.976,0.413
4084.47,43.9,25.3,358965.011,3123927.771,2,0.737,0.972,0.413
4083.85,50.9,31.4,358966.011,3123927.771,2,0.731,0.955,0.421
4082.99,57.0,37.2,358967.011,3123927.771,2,0.719,0.927,0.429
4081.78,69.1,37.7,358968.011,3123927.771,2,0.702,0.891,0.439
4080.69,77.9,39.0,358969.011,3123927.771,2,0.687,0.864,0.446
4076.12,80.0,40.0,358970.011,3123927.771,2,0.617,0.751,0.475
4071.28,76.1,42.1,358971.011,3123927.771,2,0.552,0.644,0.508
4086.95,47.1,15.5,358961.011,3123926.771,2,0.756,1.050,0.387
4086.61,49.7,16.8,358962.011,3123926.771,2,0.754,1.038,0.390
4086.06,50.8,20.8,358963.011,3123926.771,2,0.751,1.020,0.397
4085.43,48.6,24.2,358964.011,3123926.771,2,0.746,0.998,0.408
4085.24,45.5,26.3,358965.011,3123926.771,2,0.746,0.993,0.412
4084.72,48.0,35.8,358966.011,3123926.771,2,0.741,0.977,0.417
4084.01,52.5,37.6,358967.011,3123926.771,2,0.732,0.952,0.428
4082.95,52.8,39.0,358968.011,3123926.771,2,0.717,0.917,0.440
4082.34,63.2,41.9,358969.011,3123926.771,2,0.710,0.902,0.444
4081.50,75.7,43.6,358970.011,3123926.771,2,0.699,0.881,0.453
4077.83,78.4,47.7,358971.011,3123926.771,2,0.639,0.782,0.474
4075.63,77.4,47.8,358972.011,3123926.771,2,0.610,0.738,0.493
4074.16,73.9,47.3,358973.011,3123926.771,2,0.595,0.711,0.503
4073.01,63.8,47.1,358974.011,3123926.771,2,0.584,0.690,0.513
4084.67,48.5,38.0,358967.011,3123925.771,2,0.740,0.966,0.424
4083.59,46.6,39.0,358968.011,3123925.771,2,0.725,0.928,0.433
4082.91,43.8,39.9,358969.011,3123925.771,2,0.716,0.909,0.440
4082.14,57.6,41.9,358970.011,3123925.771,2,0.705,0.887,0.448
4081.13,65.6,44.5,358971.011,3123925.771,2,0.689,0.859,0.458
4080.56,69.9,47.3,358972.011,3123925.771,2,0.684,0.851,0.464
4079.03,72.9,42.3,358973.011,3123925.771,2,0.664,0.817,0.474
4076.33,72.7,41.2,358974.011,3123925.771,2,0.625,0.756,0.493
4074.30,66.7,39.8,358975.011,3123925.771,2,0.597,0.712,0.507
4084.24,44.1,39.2,358968.011,3123924.771,2,0.732,0.941,0.437
4083.55,42.0,39.8,358969.011,3123924.771,2,0.722,0.919,0.444
4082.81,48.3,40.0,358970.011,3123924.771,2,0.711,0.896,0.453
4081.47,45.8,41.9,358971.011,3123924.771,2,0.687,0.854,0.465
4080.80,42.5,41.5,358972.011,3123924.771,2,0.680,0.841,0.473
4079.87,54.7,39.2,358973.011,3123924.771,2,0.669,0.821,0.479
4079.22,64.3,37.4,358974.011,3123924.771,2,0.663,0.813,0.483
4077.97,67.0,35.7,358975.011,3123924.771,2,0.649,0.791,0.493
4075.76,60.2,35.7,358976.011,3123924.771,2,0.616,0.740,0.512
4084.65,41.1,41.5,358968.011,3123923.771,2,0.736,0.948,0.428
4084.00,38.6,41.9,358969.011,3123923.771,2,0.726,0.924,0.440
4083.17,47.8,42.3,358970.011,3123923.771,2,0.711,0.896,0.450
4081.83,47.4,42.6,358971.011,3123923.771,2,0.688,0.852,0.466
4081.10,39.4,41.9,358972.011,3123923.771,2,0.677,0.836,0.472
4080.63,41.7,39.0,358973.011,3123923.771,2,0.674,0.829,0.482
4079.84,50.0,36.5,358974.011,3123923.771,2,0.665,0.814,0.488
4078.49,56.6,31.9,358975.011,3123923.771,2,0.648,0.786,0.496
4077.31,58.0,29.8,358976.011,3123923.771,2,0.633,0.763,0.508
4084.94,43.4,47.6,358968.011,3123922.771,2,0.738,0.953,0.423
4084.19,40.1,47.6,358969.011,3123922.771,2,0.725,0.921,0.436
4083.59,45.7,47.6,358970.011,3123922.771,2,0.714,0.901,0.449
4082.33,50.0,47.7,358971.011,3123922.771,2,0.690,0.856,0.469
4081.74,46.9,45.8,358972.011,3123922.771,2,0.683,0.845,0.476
4081.11,43.0,39.8,358973.011,3123922.771,2,0.675,0.831,0.484
4080.46,49.2,37.3,358974.011,3123922.771,2,0.668,0.819,0.491
4079.01,52.4,31.9,358975.011,3123922.771,2,0.648,0.785,0.503
4078.40,52.8,29.8,358976.011,3123922.771,2,0.645,0.780,0.506
4077.32,50.5,28.9,358977.011,3123922.771,2,0.631,0.758,0.519
4084.78,48.5,49.9,358969.011,3123921.771,2,0.732,0.939,0.427
4084.02,49.2,49.4,358970.011,3123921.771,2,0.717,0.908,0.444
4083.80,53.5,49.1,358971.011,3123921.771,2,0.714,0.904,0.453
4082.74,57.1,48.1,358972.011,3123921.771,2,0.696,0.868,0.468
4081.69,57.4,42.3,358973.011,3123921.771,2,0.679,0.838,0.486
4080.88,55.0,37.6,358974.011,3123921.771,2,0.668,0.819,0.494
4080.07,51.8,35.7,358975.011,3123921.771,2,0.660,0.805,0.500
4079.00,51.2,34.0,358976.011,3123921.771,2,0.648,0.782,0.511
4078.22,46.0,31.4,358977.011,3123921.771,2,0.639,0.769,0.517
4078.03,39.9,28.4,358978.011,3123921.771,2,0.642,0.773,0.520
4085.33,48.2,49.9,358970.011,3123920.771,2,0.735,0.959,0.429
4084.83,52.9,49.7,358971.011,3123920.771,2,0.726,0.938,0.442
4084.35,62.0,48.4,358972.011,3123920.771,2,0.718,0.921,0.455
4084.13,69.9,47.3,358973.011,3123920.771,2,0.714,0.916,0.465
4081.78,72.5,39.8,358974.011,3123920.771,2,0.678,0.839,0.491
4080.93,71.0,37.4,358975.011,3123920.771,2,0.669,0.821,0.503
4079.96,69.0,36.6,358976.011,3123920.771,2,0.658,0.801,0.515
4079.00,64.1,34.1,358977.011,3123920.771,2,0.647,0.780,0.524
4078.45,51.1,31.2,358978.011,3123920.771,2,0.642,0.772,0.528
4078.63,37.6,25.5,358979.011,3123920.771,2,0.651,0.786,0.532
4083.94,76.9,33.8,358976.011,3123919.771,2,0.711,0.914,0.477
4082.00,76.4,28.7,358977.011,3123919.771,2,0.690,0.861,0.498
4080.00,74.7,25.5,358978.011,3123919.771,2,0.664,0.809,0.517
4079.36,71.5,24.1,358979.011,3123919.771,2,0.658,0.797,0.525
4079.14,61.5,22.0,358980.011,3123919.771,2,0.662,0.799,0.531
4079.56,44.1,21.3,358981.011,3123919.771,2,0.676,0.820,0.524
4084.89,77.3,22.0,358979.011,3123918.771,2,0.732,0.958,0.471
4081.70,74.1,21.8,358980.011,3123918.771,2,0.702,0.872,0.505
4080.25,54.7,21.3,358981.011,3123918.771,2,0.683,0.835,0.527
